Instruction,Substitution 1,Substitution 2,Substitution 3
"l.add rD,rA,rB","l.addi r0,rA,0
l.addc rD,r0,rB
l.andi r0,r0,0","l.add rD,rA,rB
l.andi r0,r0,0",
"l.addc rD,rA,rB","l.addc rD,rA,rB
l.and r0,r0,r0","l.addc rD,rA,rB
l.movhi r0,0",
"l.addi rD,rA,I","l.addc r0,r0,r0
l.addic rD,rA,I
l.movhi r0,0","l.xori r0,r0,I
l.add rD,rA,r0
l.movhi r0,0",
"l.addic rD,rA,I","l.xori r0,r0,I
l.addc rD,rA,r0
l.andi r0,r0,0","l.addic rD,rA,I
l.and r0,r0,r0",
"l.and rD,rA,rB","l.xori r0,rA,-1
l.xori rD,rB,-1
l.or rD,rD,r0
l.xori rD,rD,-1
l.xor r0, r0, r0","l.and rD,rA,rB
l.extbs r0,r0",
"l.andi rD,rA,K","l.ori r0,r0,K
l.xori r0,r0,-1
l.xori rD,rB,-1
l.or rD,rD,r0
l.xori rD,rD,-1
l.xor r0, r0, r0","l.ori r0,r0,I
l.and rD,rA,r0
l.xor r0,r0,r0",
l.bf N,,,
l.bnf N,,,
"l.cmov rD,rA,rB",,,
l.csync,,,
l.cust1,,,
l.cust2,,,
l.cust3,,,
l.cust4,,,
"l.cust5 rD,rA,rB,L,K",,,
l.cust6,,,
l.cust7,,,
l.cust8,,,
"l.div rD,rA,rB",,,
"l.divu rD,rA,rB",,,
"l.extbs rD,rA","l.slli rD,rA,24
l.srai rD,rD,24","l.extbs rD,rA
l.andi r0,r0,0",
"l.extbz rD,rA","l.slli rD,rA,24
l.srli rD,rD,24","l.andi rD,rA,255",
"l.exths rD,rA","l.slli rD,rA,16
l.srai rD,rD,16","l.exths rD,rA
l.andi r0,r0,0",
"l.exthz rD,rA","l.andi rD,rA,65535","l.slli rD,rA,16
l.srli rD,rD,16",
"l.extws rD,rA","l.xori rD,rA,0","l.extws rD,rA",
"l.extwz rD,rA","l.xori rD,rA,0","l.extws rD,rA",
"l.ff1 rD,rA,rB","l.ff1 rD,rA,rB
l.movhi r0,0","l.ff1 rD,rA,rB
l.nop",
"l.fl1 rD,rA,rB","l.ff1 rD,rA,rB
l.movhi r0,0","l.ff1 rD,rA,rB
l.nop",
l.j N,,,
l.jal N,,,
l.jalr rB,,,
l.jr rB,,,
"l.lbs rD,I(rA)","l.lbz rD,I(rA)
l.extbs rD,rD","l.lbz rD,I(rA)
l.slli rD,rD,24
l.srai rD,rD,24","l.lhz rD,I(rA)
l.slli rD,rD,24
l.srli rD,rD,24"
